symptom_keywords,medicine_name,dosage,home_remedy,side_effects
 Pain relief,Enzomac Forte Tablet,As directed by physician,No common side effects seen,
 Allergic conditions,Ebast 20 Tablet,As directed by physician,,Sleepiness Headache Dryness in mouth
 Pain relief,Etoshine 60 Tablet,As directed by physician,,Stomach pain Diarrhea
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Embeta XR 25 Tablet,As directed by physician,,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
Treatment of Pain due to muscle spasm,Etos MR Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
 Pain relief,Etova 400 Tablet,As directed by physician,,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Esomac D 40 Capsule SR,As directed by physician,,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Esofag-D Capsule SR,As directed by physician,,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Esogress 40 Tablet,As directed by physician,,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
 Dry eyes,Eyemist Forte Eye Drop,As directed by physician,,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Treatment of Fungal skin infections,Ebernet Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Esomac 40 Tablet,As directed by physician,,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure,Envas 5 Tablet,As directed by physician,,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Embeta XR 50 Tablet,As directed by physician,,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Espogen 4000IU Injection,As directed by physician,,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
 Pain due to muscle spasm,Eprisan D SR Capsule,As directed by physician,,Nausea Vomiting Heartburn Stomach pain epigastric pain Diarrhea Loss of appetite Dizziness Weakness Sleepiness
Treatment of Pain due to muscle spasm,Ezact MR Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
 Hormone replacement therapy,Estrabet 2 Tablet,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
 Irritable bowel syndrome,Eldicet Tablet,As directed by physician,,Abdominal pain Difficulty in swallowing
 Epilepsy,Encorate Chrono 300 Tablet CR,As directed by physician,,Nausea Vomiting Weight gain Loss of appetite Gum swelling Headache Sleepiness Tremors Hair loss Liver injury
 Chronic hepatitis B virus (HBV) infection,Entavir 0.5mg Tablet,As directed by physician,,Headache Nausea Vomiting Fatigue Stomach pain Diarrhea
 Pain relief,Enzoheal Tablet,As directed by physician,No common side effects seen,
Treatment of Prevention of heart attack and stroke,Ecosprin AV 150/20 Capsule,As directed by physician,,Abdominal pain Constipation Flatulence Increased liver enzymes Hepatitis viral infection of liver Reye s syndrome like symptoms
Treatment of Hypertension (high blood pressure),Eritel LN 40 Tablet,As directed by physician,,Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
 Epilepsy,Encorate Chrono 500 Tablet CR,As directed by physician,,Nausea Vomiting Weight gain Loss of appetite Gum swelling Headache Sleepiness Tremors Hair loss Liver injury
Treatment of Anal fissure,Escot Cream,As directed by physician,Anal irritation,
Treatment of Dry eyes,Everfresh Tears 0.5% Eye Drop,As directed by physician,,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
 Constipation,Eva Q Syrup,As directed by physician,Cramps Abdominal distension Flatulence,
Treatment of ConstipationTreatment of Hepatic encephalopathy,Evict Oral Solution,As directed by physician,,Abdominal pain Nausea Vomiting Diarrhea
 Allergic conditions,Ebast Tablet,As directed by physician,,Sleepiness Headache Dryness in mouth
Treatment and prevention of Epilepsy/Seizures,Epsolin 100 Tablet,As directed by physician,,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
Treatment of Sneezing and runny nose due to allergies,Emlukast-FX Tablet,As directed by physician,,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Treatment of Epilepsy/Seizures,Epilive 500 Tablet,As directed by physician,,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
 Pain reliefTreatment of Swelling,Enzoflam-CT Tablet,As directed by physician,Limited data available,
 Facial hirsutism (Excessive hair growth on face),Eflora Cream,As directed by physician,,Acne Itching Hair loss Stinging sensation Dry skin Rash Paresthesia tingling or pricking sensation Irritation Hair follicle inflammation
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Esoz D 40 Capsule SR,As directed by physician,,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
 Melasma,Eukroma Cream,As directed by physician,,Erythema skin redness Dryness and fissuring of paranasal and infraorbital areas Stinging sensation
Treatment of Dry eyes,Eyelet Eye Drop 10ml for Eye Infections,As directed by physician,,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
 Pain relief,Etova-ER 400 Tablet ER,As directed by physician,,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Eslo 2.5 Tablet,As directed by physician,,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
Treatment of Prevention of heart attack and stroke,Ecosprin-AV 150 Capsule,As directed by physician,,Abdominal pain Constipation Flatulence Increased liver enzymes Hepatitis viral infection of liver Reye s syndrome like symptoms
 Dry eyes,Eyemist Gel,As directed by physician,,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure,Envas 2.5 Tablet,As directed by physician,,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Treatment of Bacterial infections,Erytop Cream,As directed by physician,,Application site reactions burning irritation itching and redness Skin rash Stomach pain Nausea Vomiting Diarrhea
Treatment of Pain due to muscle spasm,Etrik MR Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
 Hormone replacement therapyTreatment of Female infertility,Endogest 200 SR Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
 Pain relief,Ebility Tablet,As directed by physician,,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Treatment and prevention of Epilepsy/Seizures,Eptoin Injection,As directed by physician,,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
 Heavy menstrual bleeding,Etosys Tablet,As directed by physician,,Nausea Stomach pain Diarrhea Headache Nasal congestion stuffy nose Sinus pain Sinus inflammation Rash Tiredness Musculoskeletal bone muscle or joint pain Anemia low number of red blood cells
Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Eritel 40 Tablet,As directed by physician,,Upper respiratory tract infection Sinus infection Back pain Diarrhea
 Pain relief,Ezact 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of pelvic pain associated with Endometriosis,Endoreg Tablet,As directed by physician,,Headache Acne Breast pain Abnormal menstrual bleeding Weight gain Sleep disorder Nervousness Loss of libido Migraine Gastrointestinal disturbance Hair loss Back pain Breast engorgement Ovarian cysts Hot flushes Vaginal bleeding Asthenic conditions Irritability
Treatment of Pancreatic enzyme deficiency,Enzar-HS Capsule,As directed by physician,,Stomach pain Bloating Diarrhea
 Swelling,Enzictra - DS Tablet,As directed by physician,No common side effects seen,
Treatment of Skin conditions with inflammation & itching,Elocon Cream,As directed by physician,Stinging sensation Itching Hair follicle inflammation,
Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Eposis 4000IU Injection,As directed by physician,,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
Treatment of Bacterial skin infections,Enzoheal Ointment,As directed by physician,Burning sensation at the site of application,
 Pain relief,Esgipyrin SP Tablet,As directed by physician,,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
 Pain relief,Etos 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
 Hypertension (high blood pressure),Eritel-CH 40 Tablet,As directed by physician,,Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Esofine-DSR Capsule,As directed by physician,,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Treatment of Bacterial infections,Elores 1.5gm Injection,As directed by physician,,Injection site reactions pain swelling redness Nausea Vomiting Diarrhea
 Pain relief,Etogesic ER Tablet,As directed by physician,,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
 Pain relief,Etozox 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of Diarrhea,Enuff 10mg Sachet,As directed by physician,,Skin rash Vomiting Dizziness General discomfort Headache
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Esomefol-DSR Capsule,As directed by physician,,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
 Uterine fibroids,Elata Tablet,As directed by physician,,Absence of menstrual periods Headache Endometrial hyperplasia
Treatment of Skin infections,Enderm gm Cream,As directed by physician,,Burning sensation Itching Skin pain
Treatment of Dry eyes,Extralube Eye Drop,As directed by physician,,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
 Pain due to muscle spasm,Etogesic MR Tablet,As directed by physician,,Nausea Vomiting Heartburn Stomach pain epigastric pain Loss of appetite Indigestion Sleepiness
Treatment and prevention of Epilepsy/Seizures,Eptoin 300 ER Tablet,As directed by physician,,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
 Breast cancer Endometrial cancer,Endace 40 Tablet,As directed by physician,,Increased appetite Weight gain Hot flashes High blood pressure Constipation Increased glucose level in blood
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Eslo 5 Tablet,As directed by physician,,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
 Acne,Epiduo 0.1%/2.5% Gel,As directed by physician,,Erythema skin redness Burning sensation Scaling Stinging sensation
Treatment of Chronic obstructive pulmonary disease (COPD),Esiflo 250 Transcaps,As directed by physician,,Headache Cough Upper respiratory tract infection Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
 Bleeding,Ethamcip 500 Tablet,As directed by physician,,Skin rash Vomiting Headache Nausea Diarrhea
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Esogress-L Capsule SR,As directed by physician,,Nausea Vomiting Diarrhea Constipation Upset stomach Stomach pain Headache Flatulence Sleepiness
 Pain relief,Etoshine 120 Tablet,As directed by physician,,Stomach pain Diarrhea
Treatment of Pain due to muscle spasm,Etoford MR 60mg/4mg Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
 Pain relief,Etody 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
 Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,Encorate 500 Tablet,As directed by physician,,Headache Dizziness Blurred vision Nausea Vomiting Sleepiness Hair loss Weight gain Tremors Double vision Impaired coordination Weakness Increased appetite Insomnia difficulty in sleeping Abdominal pain Abnormal thoughts Diarrhea Depression Constipation Nystagmus involuntary eye movement Weight loss Bronchitis inflammation of the airways Breathlessness Low blood platelets Hay fever Nervousness Ecchymosis discoloration of the skin resulting from bleeding underneath Flu like symptoms Fever Memory loss Indigestion Infection Peripheral edema
Treatment of Hypertension (high blood pressure),Efnocar 40 Tablet,As directed by physician,,Headache Palpitations Hot flushes Flushing of face
Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety,Emikind-MD Tablet,As directed by physician,,Drowsiness Orthostatic hypotension sudden lowering of blood pressure on standing
 Skin infections,Eclospan Cream,As directed by physician,,Application site reactions burning irritation itching and redness Thinning of skin Skin peeling
Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer,Enzocort 6 Tablet,As directed by physician,,Increased appetite Weight gain Frequent urge to urinate Cushing syndrome Cough Upper respiratory tract infection Abnormal hair growth Obesity Nasopharyngitis inflammation of the throat and nasal passages
 Pain relief,Etrik 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Esofag 40 Tablet,As directed by physician,,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
 Fungal infections,Ecovin 500 Tablet,As directed by physician,,Headache Skin rash Nausea Diarrhea Dizziness
Treatment of Acne,Ezanic 20% Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Polycystic ovarian syndrome (PCOS),Elestra Tablet,As directed by physician,,Nausea Stomach pain Headache Weight gain Breast pain Mood changes
Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Eporise 4000 Injection,As directed by physician,,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
Treatment and prevention of Epilepsy/Seizures,Epsolin 50mg,As directed by physician,,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
Treatment of Pain due to muscle spasm,Etorica MR Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Esomac L Capsule SR,As directed by physician,,Nausea Vomiting Diarrhea Constipation Upset stomach Stomach pain Headache Flatulence Sleepiness
Treatment of Bacterial infections,Erytop Lotion,As directed by physician,,Application site reactions burning irritation itching and redness Skin rash Stomach pain Nausea Vomiting Diarrhea
Treatment of Hypothyroidism,Euthyrox 50 Tablet,As directed by physician,,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Treatment of Bacterial infections,Extacef 200 DT Tablet,As directed by physician,,Nausea Stomach pain Indigestion Diarrhea
Treatment of Female infertilityTreatment of Male hypogonadism,Eema HP 5000 Injection,As directed by physician,,Injection site pain Headache Fatigue Depression Irritation Restlessness
Treatment of NauseaTreatment of Vomiting,Emeset 8 Tablet,As directed by physician,,Constipation Diarrhea Fatigue Headache
 Hormone replacement therapy,Evatone 2 Tablet,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
Treatment of Pain due to muscle spasm,Etoro TH 60mg/4mg Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
 Pain relief,Esgipyrin-A Tablet,As directed by physician,,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Treatment of Skin conditions with inflammation & itching,Elosone Cream,As directed by physician,Stinging sensation Itching Hair follicle inflammation,
Treatment of Hypertension (high blood pressure)Treatment of EdemaTreatment of Heart failure,Epnone 25mg Tablet,As directed by physician,,Dizziness Diarrhea Nausea Cough Flu like symptoms Fatigue Increased potassium level in blood Increased creatinine level in blood Headache
Treatment of Hypertension (high blood pressure)Treatment of EdemaTreatment of Heart failure,Eplehef 25 Tablet,As directed by physician,,Dizziness Diarrhea Nausea Cough Flu like symptoms Fatigue Increased potassium level in blood Increased creatinine level in blood Headache
Treatment of Alcohol addiction,Esperal Tablet,As directed by physician,,Headache Fatigue Drowsiness Metallic taste
Treatment of Erectile dysfunction,ED Save Tablet,As directed by physician,,Headache Muscle pain Upset stomach Back pain Nasopharyngitis inflammation of the throat and nasal passages
Treatment of Nausea Vomiting,Emigo Oral Solution,As directed by physician,,Constipation Diarrhea Fatigue Headache
 Breast cancer Endometrial cancer,Endace 160 Tablet,As directed by physician,,Increased appetite Weight gain Hot flashes High blood pressure Constipation Increased glucose level in blood
 Epilepsy,Encorate Chrono 200 Tablet CR,As directed by physician,,Nausea Vomiting Weight gain Loss of appetite Gum swelling Headache Sleepiness Tremors Hair loss Liver injury
Treatment of Chronic obstructive pulmonary disease (COPD),Esiflo 250 Transhaler,As directed by physician,,Headache Cough Upper respiratory tract infection Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
 Pain relief,Etoxib 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of Skin conditions with inflammation & itching,Elocon Ointment,As directed by physician,Stinging sensation Itching Hair follicle inflammation,
Treatment of Type 2 diabetes mellitus,Eurepa 1 Tablet,As directed by physician,,Hypoglycemia low blood glucose level Abdominal pain Nausea Diarrhea Back pain Joint pain Upper respiratory tract infection Headache Sinus inflammation
 Bacterial eye infectionsTreatment of Bacterial infections,Exocin Ophthalmic Solution,As directed by physician,,Eye discomfort Nausea Headache Dizziness Itching Insomnia difficulty in sleeping Rash Genital itching Vaginal inflammation Phlebitis Injection site reactions pain swelling redness
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Esofag-L Capsule SR,As directed by physician,,Nausea Vomiting Diarrhea Constipation Upset stomach Stomach pain Headache Flatulence Sleepiness
Treatment and prevention of Blood clots,Evaparin Injection,As directed by physician,,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
Treatment and prevention of Epilepsy/Seizures,Eptoin Suspension,As directed by physician,,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
 Pain relief,Etrobax 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
 Parasitic infections,Eofil Forte 250 mg/4 mg Tablet,As directed by physician,,Nausea Loss of appetite Sleepiness Headache Allergic reaction
Treatment of Bacterial skin infections,Enzomac Ointment,As directed by physician,,Itching Burning sensation Stinging sensation Pain
Treatment of Erectile dysfunction,Efil 5mg Tablet,As directed by physician,,Headache Muscle pain Upset stomach Back pain Nasopharyngitis inflammation of the throat and nasal passages
 Hormone replacement therapyTreatment of Female infertility,Endogest 200 Capsule,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
 Pain relief Swelling,Emanzen Forte 10mg Tablet,As directed by physician,No common side effects seen,
Treatment of Pain due to muscle spasm,Etoxib MR Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
Treatment of Type 2 diabetes mellitus,Eurepa-V 1/0.3 Tablet,As directed by physician,,Hypoglycemia low blood glucose level Abdominal pain Diarrhea Flatulence Upper respiratory tract infection Headache
Treatment of Acne,Erytop-N Gel,As directed by physician,,Skin peeling Dry skin Erythema skin redness Burning sensation at the site of application
Treatment of Female infertility,Evaserve Tablet,As directed by physician,No common side effects seen,
Treatment of Hypothyroidism,Eltroxin 125mcg Tablet,As directed by physician,,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
 Bacterial infections,Enteromycetin Suspension,As directed by physician,,Vomiting Nausea Diarrhea Taste change
Treatment and prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke,Ecosprin 325 Tablet,As directed by physician,,Heartburn Increased bleeding tendency Nausea Upset stomach Vomiting
Treatment of Pulmonary arterial hypertension (PAH),Endobloc T Combipack,As directed by physician,,Peripheral edema Headache Nasal congestion stuffy nose Cough Anemia low number of red blood cells Indigestion Bronchitis inflammation of the airways
Treatment of Fungal skin infections,Eberfine Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of NauseaTreatment of Vomiting,Eterna 4mg Tablet MD,As directed by physician,,Constipation Diarrhea Fatigue Headache
 Pain relief,Enzictra Tablet,As directed by physician,No common side effects seen,
 Hormone replacement therapy,Estrabet 0.06% Gel,As directed by physician,,Headache Breast pain Flatulence
Treatment and prevention of Blood clots,Enclex 40 Injection,As directed by physician,,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
Treatment of Allergic eye disease,Eyecon Eye Drop,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Nausea and vomiting in pregnancy,Emestat OD Tablet,As directed by physician,Dryness in mouth Constipation Lightheadedness Drowsiness,
Treatment of pelvic pain associated with Endometriosis,Emersa 2mg Tablet,As directed by physician,,Headache Acne Breast pain Abnormal menstrual bleeding Weight gain Sleep disorder Nervousness Loss of libido Migraine Gastrointestinal disturbance Hair loss Back pain Breast engorgement Ovarian cysts Hot flushes Vaginal bleeding Asthenic conditions Irritability
 Bleeding,Ethasyl 500 Tablet,As directed by physician,,Skin rash Vomiting Headache Nausea Diarrhea
Treatment of Bacterial infections,Erythrocin 250mg Tablet,As directed by physician,,Vomiting Nausea Abdominal pain Diarrhea
 Facial hirsutism (Excessive hair growth on face),Elyn Cream,As directed by physician,,Acne Itching Hair loss Stinging sensation Dry skin Rash Paresthesia tingling or pricking sensation Irritation Hair follicle inflammation
Treatment of Fungal skin infections,Ebernet-M Cream,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Erectile dysfunction,Edrive-T 2.5 Tablet,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Headache Blurred vision Muscle pain Upset stomach Nasal congestion stuffy nose
 Pain relief,Etos P 60mg/325mg Tablet,As directed by physician,,Diarrhea Indigestion Stomach pain Flatulence Swelling of hands Feet swelling Flu like symptoms
 Pain relief,Ezact 60 Tablet,As directed by physician,,Stomach pain Diarrhea
 Hormone replacement therapyTreatment of Female infertility,Endogest 300 SR Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
 Pain relief,Etrik P Tablet,As directed by physician,,Diarrhea Indigestion Stomach pain Flatulence Swelling of hands Feet swelling Flu like symptoms
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Esofine-LS Capsule SR,As directed by physician,,Nausea Vomiting Diarrhea Constipation Upset stomach Stomach pain Headache Flatulence Sleepiness
 Diabetes,Eglucent Mix 25 100IU/ml Suspension for Injection,As directed by physician,,Hypoglycemia low blood glucose level Weight gain Infusion site reaction Auto antibody formation
 Nutritional deficiencies,Elfolin Plus Tablet,As directed by physician,,Acne Skin reaction Itching
Treatment of Allergic conditions,Elina Tablet MR,As directed by physician,,Sleepiness Dizziness
 Bacterial infections of the vagina (bacterial vaginosis),Evanew Vaginal Tablet,As directed by physician,No common side effects seen,
Treatment of Fungal skin infectionsTreatment of Fungal infections,Episert Cream,As directed by physician,,Application site reactions burning irritation itching and redness Skin irritation
 Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Eiref 40 mg/150 mg Capsule SR,As directed by physician,,Diarrhea Stomach pain Headache Flatulence Dizziness Increased saliva production
Treatment of Sneezing and runny nose due to allergies,Ezicas AZ Nasal Spray,As directed by physician,,Taste change Nosebleeds Headache Cough Upper respiratory tract infection Dryness in mouth Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure,Enam 5 Tablet,As directed by physician,,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Treatment of Chronic obstructive pulmonary disease (COPD),Effenac AB Tablet,As directed by physician,,Vomiting Heartburn Stomach pain Upset stomach Rash Hives Itching Breathing problems Nasal inflammation Increased white blood cell count
Treatment of Dry cough,Ephedrex Syrup,As directed by physician,,Nausea Vomiting Loss of appetite Headache
 Atopic dermatitis,Elidel Cream,As directed by physician,Application site reactions burning irritation itching and redness,
 Hormone replacement therapy,Evadiol Tablet,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Eposis 10000IU Injection,As directed by physician,,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
 Pain relief,Etowin 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Espra 40mg Tablet,As directed by physician,,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
Treatment of Hypothyroidism,Euthyrox 25 Tablet,As directed by physician,,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
 Neuropathic pain,Emaxgalin 75mg/60mg Tablet,As directed by physician,,Dizziness Sleepiness Dryness in mouth Swelling Blurred vision Weight gain Impaired concentration Stomach pain Headache Fatigue Increased appetite
